ALUT,FF,RAM,DSP,ALUT_impl,ALM_impl,FF_impl,RAM_impl,DSP_impl,Design_Name
216,5,0,2,92,67.0,11,0,2,4_1
216,5,0,2,92,66.5,12,0,2,4_26
259,5,0,2,97,89.0,16,0,2,4_51
259,5,0,2,97,89.0,15,0,2,4_76
173,5,0,2,86,43.5,7,0,2,4_2
259,5,0,2,97,89.0,15,0,2,4_27
173,5,0,2,86,43.5,6,0,2,4_52
259,5,0,2,97,89.0,16,0,2,4_77
259,5,0,2,97,89.0,15,0,2,4_3
259,5,0,2,97,89.0,15,0,2,4_28
216,5,0,2,124,83.0,11,0,2,4_78
173,5,0,2,86,43.5,6,0,2,4_53
259,5,0,2,97,89.0,15,0,2,4_54
259,5,0,2,97,89.0,16,0,2,4_79
216,5,0,2,124,83.0,12,0,2,4_4
259,5,0,2,97,89.0,16,0,2,4_29
173,5,0,2,86,43.5,6,0,2,4_55
259,5,0,2,97,89.0,16,0,2,4_80
216,5,0,2,124,82.5,11,0,2,4_5
259,5,0,2,97,89.0,15,0,2,4_30
216,5,0,2,124,83.0,11,0,2,4_56
173,5,0,2,86,43.5,6,0,2,4_81
259,5,0,2,97,89.0,16,0,2,4_31
173,5,0,2,86,43.5,6,0,2,4_6
216,5,0,2,124,82.5,11,0,2,4_57
259,5,0,2,97,89.0,16,0,2,4_82
216,5,0,2,124,82.5,11,0,2,4_7
173,5,0,2,86,43.5,6,0,2,4_32
259,5,0,2,97,89.0,16,0,2,4_83
216,5,0,2,92,66.5,12,0,2,4_58
216,5,0,2,124,82.5,11,0,2,4_8
259,5,0,2,97,89.0,15,0,2,4_33
173,5,0,2,86,43.5,6,0,2,4_59
259,5,0,2,97,89.0,15,0,2,4_84
173,5,0,2,86,43.5,6,0,2,4_9
259,5,0,2,97,89.0,15,0,2,4_34
259,5,0,2,97,89.0,15,0,2,4_85
173,5,0,2,86,43.5,6,0,2,4_60
173,5,0,2,86,43.5,6,0,2,4_10
173,5,0,2,86,43.5,6,0,2,4_35
259,5,0,2,97,89.0,16,0,2,4_86
259,5,0,2,97,89.0,16,0,2,4_61
